  x  y  f
      1945.86      2589.14      82647.6
      1943.09      1683.13      82380.2
      1100.25      1219.49      82100.4
      1007.90      2185.66      81672.5
      1147.94      1595.76      81285.0
      1620.58      1671.24      81261.3
      943.594      2204.26      81029.0
      509.476      1079.26      80879.1
      2147.90      2287.17      80710.0
      1448.54      2255.04      80519.9
      643.441      2538.36      80509.9
      1032.47      1532.35      80256.5
      989.487      948.264      79954.8
      802.968      1958.66      79817.8
      1656.80      2233.34      79752.9
      639.185      1693.41      79681.1
      819.028      974.432      79614.3
      544.060      1254.65      79560.6
      2267.43      2466.42      79197.5
      927.076      1636.85      78794.8
      1970.44      1461.25      78784.8
      1044.70      1417.33      78777.4
      1591.62      2449.15      78253.1
      1693.63      684.265      78059.6
      1980.36      1941.20      78042.2
      1686.42      1544.82      77979.3
      1569.46      2094.91      77808.8
      1772.55      1910.16      77487.7
      1845.74      1314.43      77303.1
      1404.52      1728.03      77183.1
      1675.01      1672.62      76840.9
      2073.46      1650.79      76761.5
      2053.47      2259.18      76144.1
      1857.45      1785.35      75773.9
      2236.27      2404.12      75739.8
      2356.97      953.012      75100.3
      1573.45      1996.65      74895.2
      694.655      2541.09      74709.0
      667.519      1769.85      74586.9
      778.225      2089.35      74582.9
      869.821      1439.57      74384.5
      312.928      1548.60      74373.0
      673.686      1918.34      74320.2
      1454.54      2333.26      74305.1
      1088.50      791.407      74235.8
      1210.10      1433.42      73784.9
      1712.70      1736.32      73669.8
      2114.39      2191.68      73498.7
      2135.76      1072.03      72506.3
      531.817      2430.28      72356.7
      2162.81      1705.19      72293.8
      832.807      2078.34      71928.8
      1261.11      1635.79      71398.2
      728.269      805.310      71295.4
      608.300      2083.49      71004.2
      972.030      946.378      70662.0
      1603.68      2213.67      70099.6
      1554.50      1683.26      69980.3
      1928.15      1742.33      69281.4
      1416.67      2122.33      68796.5
      2125.77      2448.31      68795.6
      1749.75      814.045      68523.6
      1643.86      1549.24      68083.1
      716.159      1435.40      68048.8
      669.763      1210.45      67748.0
      1636.92      814.782      67043.6
      2435.45      1835.26      66989.0
      2276.39      1114.62      66563.9
      1731.44      1988.95      66451.8
