            x            y            a            d            m            sx            sy             sm            c
   512.724670    79.859207   266.576644   -28.776139    12.693718     0.001551     0.001417     0.000943     0.979852
   580.720154  1340.285767   266.456300   -28.719724    12.696188     0.001561     0.001444     0.000950     0.988892
  1288.181396   699.194763   266.475952   -28.808568    12.705562     0.001557     0.001438     0.000954     0.986689
   489.465851  1397.451782   266.456126   -28.709519    12.706315     0.001595     0.001478     0.000968     0.986312
   633.098755  1520.806885   266.436687   -28.715089    12.711323     0.001555     0.001444     0.000957     0.986744
  1146.947876  1235.354004   266.434286   -28.770760    12.719878     0.001571     0.001480     0.000969     0.989541
   387.572266  1495.189941   266.452799   -28.696457    12.727934     0.001618     0.001473     0.000978     0.978988
   777.170776  1326.278076   266.446595   -28.736329    12.733642     0.001600     0.001490     0.000981     0.984707
   491.558807  1497.979980   266.446720   -28.704745    12.734640     0.001624     0.001464     0.000981     0.989285
   372.391907  1395.612305   266.462849   -28.700123    12.738502     0.001638     0.001517     0.000993     0.978311
   465.250671  1448.158081   266.452796   -28.705064    12.738691     0.001613     0.001479     0.000984     0.986309
   339.943634  1164.801636   266.485992   -28.708841    12.743294     0.001599     0.001487     0.000985     0.969356
  1281.012817  1571.697998   266.395683   -28.765072    12.752805     0.001615     0.001517     0.000996     0.993050
   933.229919  1054.612427   266.462966   -28.762333    12.756244     0.001645     0.001538     0.001006     0.986740
   940.610962   269.476776   266.535165   -28.801515    12.765117     0.001680     0.001561     0.001020     0.982210
   564.596680  1311.587402   266.459854   -28.719828    12.768153     0.001685     0.001562     0.001021     0.972999
   458.778992    10.749334   266.586054   -28.775158    12.785530     0.001684     0.001559     0.001028     0.991699
   980.571777   982.731750   266.466961   -28.769703    12.788085     0.001713     0.001571     0.001036     0.988315
   534.651917  1495.200439   266.444565   -28.708373    12.794359     0.001748     0.001158     0.001216     0.978926
   666.180359   504.844818   266.528750   -28.767709    12.804008     0.001703     0.001568     0.001043     0.981833
  1493.924561  1568.490845   266.384042   -28.782475    12.811505     0.001713     0.001621     0.001057     0.983305
  1009.969666   878.144775   266.474985   -28.777227    12.811847     0.001700     0.001575     0.001047     0.987215
  1414.710693   239.318954   266.511413   -28.841424    12.835811     0.001777     0.001647     0.001082     0.990277
